plot_name,figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig1,fig1,free_jones_vp_gated_rescue,5.0,position_rmse_m,position_rmse_m,0.0014050800921542033,0.0008046994510395504,0.001964660991868931,0.00014296168380930607,0.003377959262991318,0.0014050800921542033,0.0008046994510395504,0.001964660991868931,0.00014296168380930607,0.003377959262991318,1.0,0.0,100,3,3,3,0.0014050800921542033,0.0008046994510395504,0.001964660991868931,0.00014296168380930607,0.003377959262991318,6.133601235665637e-05,4.319168124623184e-06,0.00011287415139421492,1.6453861882508946e-06,0.00025037920063594656,0.0008007034226388376,0.00020193293445560715,0.0010375391493727111,3.1045862740555515e-05,0.0026080661076548863,7.429301828719386e-13,5.453812569958394e-13,6.298887941171089e-13,1.2841692249928214e-13,1.6151894311303286e-12,0.11644630429525549,0.10447901235714846,0.05970882611344682,0.052532598120262945,0.21459784373679827,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fig1,free_jones_vp_gated_rescue,10.0,position_rmse_m,position_rmse_m,0.0006691517500293444,0.0003952591085119751,0.0007118273592568352,8.894821615660114e-05,0.0015445365899109957,0.0006691517500293444,0.0003952591085119751,0.0007118273592568352,8.894821615660114e-05,0.0015445365899109957,1.0,0.0,100,3,3,3,0.0006691517500293444,0.0003952591085119751,0.0007118273592568352,8.894821615660114e-05,0.0015445365899109957,1.5219016742372753e-05,1.332011492147188e-06,2.90828473335266e-05,5.016228453341107e-07,5.492508137980186e-05,0.00039774025719211244,9.952497095171454e-05,0.0005377877375491852,2.181233265905293e-05,0.0011635212793235092,3.996907174132086e-13,2.5914843069726954e-13,3.8244448918673613e-13,7.606978757251213e-14,9.552061303235522e-13,0.03682293689605269,0.0330307818565423,0.01888291739997489,0.016612268571342,0.06786134137077571,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp,-5.0,y_nmse,y_nmse,0.004035374009651465,0.0015379466720882229,0.008389594191934677,6.278981058012726e-05,0.01025586138517687,0.004035374009651465,0.0015379466720882229,0.008389594191934677,6.278981058012726e-05,0.01025586138517687,1.0,0.01,100,3,3,3,0.017969966878612343,0.01494464647203066,0.016611921019728807,0.0025342513852757978,0.0323085304593677,0.004035374009651465,0.0015379466720882229,0.008389594191934677,6.278981058012726e-05,0.01025586138517687,0.0076384767370279,0.004351378986378334,0.01182601133777738,0.0008630792912525985,0.01682810222043897,6.8651446221660394e-12,2.784067016322428e-12,1.53112377520346e-11,8.874621711241851e-13,1.0652119294859808e-11,1.1659256885372524,1.0450497339552602,0.5980834583103282,0.5268196867328325,2.1480196578524997,0.01,0.0,0.09949874371066199,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp,0.0,y_nmse,y_nmse,0.0020157746669897283,0.000806416863786014,0.004980556123009149,3.277025873031884e-05,0.0043054221356733395,0.0020157746669897283,0.000806416863786014,0.004980556123009149,3.277025873031884e-05,0.0043054221356733395,1.0,0.02,100,3,3,3,0.02639044872980227,0.007996676208687176,0.09303326246029317,0.0019089456739254736,0.026719980596539655,0.0020157746669897283,0.000806416863786014,0.004980556123009149,3.277025873031884e-05,0.0043054221356733395,0.0040804086392572875,0.0026139999685193724,0.00486006215835613,0.0005797520344674446,0.008470114035347072,4.380695877464563e-12,2.2958286268775e-12,1.0630038593982141e-11,7.206408116506885e-13,6.359187640129445e-12,0.3689893561813801,0.3306563299890468,0.18926664465069926,0.1665278900093299,0.6792389488152322,0.02,0.0,0.13999999999999999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp,5.0,y_nmse,y_nmse,0.0009476420522970135,0.00038139166078443365,0.0013553552565279874,5.7830225845247675e-06,0.002267873099415594,0.0009476420522970135,0.00038139166078443365,0.0013553552565279874,5.7830225845247675e-06,0.002267873099415594,1.0,0.0,100,3,3,3,0.010555497359442868,0.004278751663918157,0.0104732413407902,0.0009832112337125514,0.026209619450571833,0.0009476420522970135,0.00038139166078443365,0.0013553552565279874,5.7830225845247675e-06,0.002267873099415594,0.0029449781113832486,0.0021753879759866556,0.00277071014992496,0.0003067283649196685,0.00665178061943051,2.2276520475686836e-12,1.7676130112545848e-12,2.3604956214972663e-12,3.9104073024519405e-13,4.4066619245838115e-12,0.11679284095756852,0.10477545587083317,0.0598914810660092,0.05285291683487039,0.21477520298152528,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp,10.0,y_nmse,y_nmse,0.0006885584024350216,0.00031887021947738143,0.0008536828206749233,5.069861516299271e-06,0.0021252964774982493,0.0006885584024350216,0.00031887021947738143,0.0008536828206749233,5.069861516299271e-06,0.0021252964774982493,1.0,0.0,100,3,3,3,0.008782641843365042,0.003621814089534642,0.01001082340405839,0.0006226288031458189,0.026074385832471247,0.0006885584024350216,0.00031887021947738143,0.0008536828206749233,5.069861516299271e-06,0.0021252964774982493,0.00230990740683246,0.0020592500667933633,0.0018036680914271653,0.0003302465664147683,0.004782646703338755,1.7595899955450207e-12,1.5908286857391046e-12,1.4462431435118878e-12,2.3160667790518196e-13,3.628888233638946e-12,0.03705824336219324,0.033244194203425684,0.018969739488728894,0.016741346756088973,0.06792735967280378,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp_gated_rescue,-5.0,y_nmse,y_nmse,0.001197490676504563,0.0007312820786414187,0.0013673150135399426,2.098391396937519e-05,0.0030330696800058786,0.001197490676504563,0.0007312820786414187,0.0013673150135399426,2.098391396937519e-05,0.0030330696800058786,1.0,0.0,100,3,3,3,0.010818543054544754,0.0067447141227857865,0.009941294601720142,0.0010028894146587703,0.025687616813748444,0.001197490676504563,0.0007312820786414187,0.0013673150135399426,2.098391396937519e-05,0.0030330696800058786,0.0039050036802669615,0.002548597879405083,0.004827746898169033,0.00023077622001903676,0.009074257289522795,3.538262689397703e-12,2.1731518892198783e-12,5.048337760657861e-12,7.077548849767385e-13,6.076810805928588e-12,1.1646563564490415,1.0450497339552602,0.5971643267280801,0.5253599519366107,2.145976468686483,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp_gated_rescue,0.0,y_nmse,y_nmse,0.00032156160266840665,5.939395006077863e-05,0.0005254359842739748,5.173683019166121e-06,0.001144272919271592,0.00032156160266840665,5.939395006077863e-05,0.0005254359842739748,5.173683019166121e-06,0.001144272919271592,1.0,0.0,100,3,3,3,0.005099475472822726,0.002136412594772278,0.007218763741315532,0.00030428062861871517,0.020672788201333905,0.00032156160266840665,5.939395006077863e-05,0.0005254359842739748,5.173683019166121e-06,0.001144272919271592,0.0016179292692744774,0.0009174481275921642,0.0017136103672389746,6.214516692843614e-05,0.004370418030223005,1.5663927329755752e-12,1.2492435746053788e-12,1.3261524789421386e-12,2.876195535184878e-13,3.2579184570050507e-12,0.36828013930526793,0.3303760220596714,0.1888237435853601,0.1661226790732091,0.6786036844083339,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp_gated_rescue,5.0,y_nmse,y_nmse,6.133601235665637e-05,4.319168124623184e-06,0.00011287415139421492,1.6453861882508946e-06,0.00025037920063594656,6.133601235665637e-05,4.319168124623184e-06,0.00011287415139421492,1.6453861882508946e-06,0.00025037920063594656,1.0,0.0,100,3,3,3,0.0014050800921542033,0.0008046994510395504,0.001964660991868931,0.00014296168380930607,0.003377959262991318,6.133601235665637e-05,4.319168124623184e-06,0.00011287415139421492,1.6453861882508946e-06,0.00025037920063594656,0.0008007034226388376,0.00020193293445560715,0.0010375391493727111,3.1045862740555515e-05,0.0026080661076548863,7.429301828719386e-13,5.453812569958394e-13,6.298887941171089e-13,1.2841692249928214e-13,1.6151894311303286e-12,0.11644630429525549,0.10447901235714846,0.05970882611344682,0.052532598120262945,0.21459784373679827,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp_gated_rescue,10.0,y_nmse,y_nmse,1.5219016742372753e-05,1.332011492147188e-06,2.90828473335266e-05,5.016228453341107e-07,5.492508137980186e-05,1.5219016742372753e-05,1.332011492147188e-06,2.90828473335266e-05,5.016228453341107e-07,5.492508137980186e-05,1.0,0.0,100,3,3,3,0.0006691517500293444,0.0003952591085119751,0.0007118273592568352,8.894821615660114e-05,0.0015445365899109957,1.5219016742372753e-05,1.332011492147188e-06,2.90828473335266e-05,5.016228453341107e-07,5.492508137980186e-05,0.00039774025719211244,9.952497095171454e-05,0.0005377877375491852,2.181233265905293e-05,0.0011635212793235092,3.996907174132086e-13,2.5914843069726954e-13,3.8244448918673613e-13,7.606978757251213e-14,9.552061303235522e-13,0.03682293689605269,0.0330307818565423,0.01888291739997489,0.016612268571342,0.06786134137077571,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
